X,Y,insee,nom,wikipedia,surf_ha,icon_url,Effectifs avec Micro_Zone emploi,Effectifs avec Micro_Agroalimentaire,"Effectifs avec Micro_Bijouterie, joaillerie",Effectifs avec Micro_Bois,Effectifs avec Micro_Chimie,"Effectifs avec Micro_Conseil, ingénierie, recherche",Effectifs avec Micro_Construction/BTP/Génie urbain/Architecture,Effectifs avec Micro_Eau et déchets,Effectifs avec Micro_Electrique/Electronique (dont optique),Effectifs avec Micro_Emballage,Effectifs avec Micro_Energie,"Effectifs avec Micro_Management, conseil, finances",Effectifs avec Micro_Mécanique-Métallurgie,Effectifs avec Micro_Meubles,"Effectifs avec Micro_Numérique, TIC, audiovisuel",Effectifs avec Micro_Papier-carton,Effectifs avec Micro_Plasturgie,"Effectifs avec Micro_Santé (dont pharmacie, technologies médicales, R&D en biotech)",Effectifs avec Micro_Sous-traitance industrielle,Effectifs avec Micro_Sous-traitance industrielle (coeur de l'activité),Effectifs avec Micro_Sport / Loisirs,Effectifs avec Micro_Textile-habillement-cuir chaussures,Effectifs avec Micro_Tourisme,Effectifs avec Micro_Transport de marchandises/Logistique,Effectifs avec Micro_(vide)
4.09014716565278,45.6753806076327,"42269",Saint-Paul-d'Uzore,fr:Saint-Paul-d'Uzore,964.000000000000000,./0.png,La Plaine du Forez,,,,,,"7",,,,,,,,,,,,,,,,,,"0"
4.01997992315499,45.6603119592139,"42179",Pralong,fr:Pralong,810.000000000000000,./0.png,La Plaine du Forez,"0",,"1",,"0","97",,,,"0",,"2",,,,,,,,,,,"13","9"
3.99808506238763,45.5925504281471,"42012",Bard,fr:Bard (Loire),1342.000000000000000,./0.png,La Plaine du Forez,,,,,"2","19",,,,"0",,,"0",,,,,,,,,"2",,"0"
4.27683375296644,45.535122092436,"42005",Andrézieux-Bouthéon,fr:Andrézieux-Bouthéon,1589.000000000000000,./0.png,Saint Etienne,"729","0","29","0","115","1110","79","5","66","0","350","694","5","53","197","6",,"813",,"86","128","274","1113","2645"
4.31919457699038,45.5014153447507,"42097",La Fouillouse,fr:La Fouillouse,2113.000000000000000,./0.png,Saint Etienne,"3",,"7",,"4","150","25","6",,"0","30","63","11","4",,,,"0","6","190","0","102","806","309"
3.98929796752001,45.5682819357942,"42328",Verrières-en-Forez,fr:Verrières-en-Forez,2118.000000000000000,./0.png,La Plaine du Forez,,,"0","0","0","11",,,,"0","0","0","0",,,,,,,,,"0",,"29"
4.00209371656854,45.5424589077156,"42058",Chazelles-sur-Lavieu,fr:Chazelles-sur-Lavieu,972.000000000000000,./0.png,La Plaine du Forez,,,"0",,,"0",,,,"2",,,,,,,,,,"0",,,,"0"
3.97741026232779,45.5275518712093,"42107",Gumières,fr:Gumières,1611.000000000000000,./0.png,La Plaine du Forez,,,"1",,,"2",,,,"0",,,"5",,,,,,,,,"0","1","0"
4.04257138389144,45.5403569130504,"42117",Lavieu,fr:Lavieu,451.000000000000000,./0.png,,,,,,,,,,,,,,,,,,,,,,,,,
4.1187448893224,45.5127362203164,"42021",Boisset-Saint-Priest,fr:Boisset-Saint-Priest,1822.000000000000000,./0.png,Saint Etienne,"1",,,,"1","13",,,,"0",,,,,,,,"0",,,,,"0","8"
4.09239335535406,45.5441210267447,"42228",Saint-Georges-Haute-Ville,fr:Saint-Georges-Haute-Ville,964.000000000000000,./0.png,La Plaine du Forez,,,,,"5","29",,,,"0",,,,,,,,,,,,,"12","9"
4.38132507644405,45.53091014379,"42234",Saint-Héand,fr:Saint-Héand,3101.000000000000000,./0.png,Saint Etienne,"3","0",,,"1","89",,"349",,"0","7","21",,"4",,,,"0",,"0","0","1","1","67"
4.01124405440668,45.5010472162159,"42240",Saint-Jean-Soleymieux,fr:Saint-Jean-Soleymieux,1662.000000000000000,./0.png,La Plaine du Forez,"4",,"0",,,"2",,,,,,,,,,,,,,,,,,"6"
4.06413718510965,45.5059192917456,"42301",Soleymieux,fr:Soleymieux,912.000000000000000,./0.png,La Plaine du Forez,,,,,"1","8",,,,,"0","0",,,,,,,,,,"0","0","9"
4.37188167774148,45.4948514994267,"42092",L'Étrat,fr:L'Étrat,867.000000000000000,./0.png,Saint Etienne,"69",,,,"3","75",,,,,"116","14","2","0",,,"0",,,"69",,"44","99","178"
4.33103441218173,45.5416292553179,"42206",Saint-Bonnet-les-Oules,fr:Saint-Bonnet-les-Oules,1242.000000000000000,./0.png,Saint Etienne,"2",,"0",,"3","23",,,,,"0","10",,,,,,,,,,"9","285","39"
4.2500686854158,45.4903885737917,"42279",Saint-Just-Saint-Rambert,fr:Saint-Just-Saint-Rambert,4130.000000000000000,./0.png,Saint Etienne,"56","0","4","168","50","241","15",,,"0","72","159","3","14",,"2","9","20",,"16","600","80","331","491"
4.37897101287798,45.5691678456369,"42010",Aveizieux,fr:Aveizieux,914.000000000000000,./0.png,Saint Etienne,,,"0",,"0","18","0",,,"1","0","0","0","1",,,,,,,"0","2","0","3"
4.22107916964688,45.5225010413025,"42022",Bonson,fr:Bonson (Loire),519.000000000000000,./0.png,Saint Etienne,"7",,,,"2","119",,,,,"4","66","85","0",,,"0","6","168","0","0","19","64","175"
4.22997768181903,45.5402497716656,"42211",Saint-Cyprien,fr:Saint-Cyprien (Loire),714.000000000000000,./0.png,Saint Etienne,"2","0",,,"2","166","1",,,"0","55","31","0","0","18",,,"0",,"1","0","15","47","141"
4.05314342588856,45.5246367249348,"42137",Margerie-Chantagret,fr:Margerie-Chantagret,785.000000000000000,./0.png,La Plaine du Forez,"3",,"0",,,"5",,,,,"0",,,,,,,,,,,"6","5","17"
